Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
drivetrainbase,0.246577218305967,0.155966234849419,-0.37734388267295,0,0,0,3.97845697104513,0.148708468951404,1.31552479167987E-08,-1.51335191340044E-06,0.156036501088792,0.000142949422434859,0.00907423450193732,0,0,0,0,0,0,package://rmc_robot_model/meshes/drivetrainbase.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://rmc_robot_model/meshes/drivetrainbase.STL,,Drivetrain Base 2-1/1_x_2_x_0_100_Pre-Drilled_VersaFrame_Aluminum_Tube_Stock_59_217-3453-1;Drivetrain Base 2-1/1_x_2_x_0_100_Pre-Drilled_VersaFrame_Aluminum_Tube_Stock_59_217-3453-4;End Effector Assembly_RevB-3/3DRotationModule-3/StockTubeEndEffector-1;End Effector Assembly_RevB-3/3DRotationModule-4/StockTubeEndEffector-1;End Effector Assembly_RevB-3/3DRotationModule-3/3DprintBearingTubeStock-1;End Effector Assembly_RevB-3/3DRotationModule-4/3DprintBearingTubeStock-1;Drivetrain Base 2-1/1_x_2_x_0_100_Pre-Drilled_VersaFrame_Aluminum_Tube_Stock_59_217-3453-5;storage dispensing assembly-2/Post (cut)-3;storage dispensing assembly-2/Post (cut)-2;storage dispensing assembly-2/Post (cut)-4;storage dispensing assembly-2/Post (cut)-1;Drivetrain Base 2-1/1_x_2_x_0_100_Pre-Drilled_VersaFrame_Aluminum_Tube_Stock_59_217-3453-6;storage dispensing assembly-2/newscissorassembly2-12-1/wide scissor base-1;storage dispensing assembly-2/block-2;storage dispensing assembly-2/block-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1,-1.66792663014448E-10,2.07973124832783E-10,0.00351465143706947,0,0,0,1.22527899288125,0.00598133648133267,-1.79029579919568E-09,-1.74143746784375E-11,0.00598133627269292,9.1391919655146E-12,0.0109596153406722,0,0,0,0,0,0,package://rmc_robot_model/meshes/wheel1.STL,1,1,1,1,0,0,0,0,0,0,package://rmc_robot_model/meshes/wheel1.STL,,Drivetrain Base 2-1/DRV001CR4-1,Origin_axle15,,axle1,continuous,0.44561,0.1492,0.13512,1.5708,-1.2206,1.5708,drivetrainbase,0,0,0,,,,,,,,,,,,
wheel2,-1.32272373609688E-10,-2.04585182128625E-10,0.00351465143708506,0,0,0,1.22527899288125,0.00598133477437574,8.04804763197137E-10,-1.46069039462313E-12,0.005981337979632,-1.51685524535275E-11,0.0109596153406544,0,0,0,0,0,0,package://rmc_robot_model/meshes/wheel2.STL,1,1,1,1,0,0,0,0,0,0,package://rmc_robot_model/meshes/wheel2.STL,,Drivetrain Base 2-1/DRV001CR4-3,Origin_axle25,,axle2,continuous,0.047286,0.1492,0.13512,-1.5708,0.70849,1.5708,drivetrainbase,0,0,0,,,,,,,,,,,,
wheel3,-2.61081850583267E-10,-1.61125557340824E-10,0.00351465143708107,0,0,0,1.22527899288125,0.00598133787533125,9.85431038310301E-10,-2.00846796927334E-11,0.00598133487876343,-1.86785715305385E-11,0.0109596153407413,0,0,0,0,0,0,package://rmc_robot_model/meshes/wheel3.STL,1,1,1,1,0,0,0,0,0,0,package://rmc_robot_model/meshes/wheel3.STL,,Drivetrain Base 2-1/DRV001CR4-4,Origin_axle35,,axle3,continuous,0.44561,0.69879,0.1319,-1.5708,1.5216,-1.5708,drivetrainbase,0,0,0,,,,,,,,,,,,
wheel4,-1.60559898709778E-11,2.67512789697832E-10,0.00351465143708504,0,0,0,1.22527899288124,0.00598133445505847,4.10797847778463E-10,-7.07152640182419E-10,0.00598133606405798,1.97064340896129E-10,0.0109596137073593,0,0,0,0,0,0,package://rmc_robot_model/meshes/wheel4.STL,1,1,1,1,0,0,0,0,0,0,package://rmc_robot_model/meshes/wheel4.STL,,Drivetrain Base 2-1/DRV001CR4-6,Origin_axle45,,axle4,continuous,0.047286,0.6988,0.13195,1.5708,-0.8569,-1.5708,drivetrainbase,0,0,0,,,,,,,,,,,,
endeffector_rot,-0.13997,0.74705,0.091164,0,0,0,0.31419,0.00065165,1.0253E-08,-4.3862E-09,0.00035831,0.00019271,0.00029545,0,0,0,0,0,0,package://rmc_robot_model/meshes/endeffector_rot.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://rmc_robot_model/meshes/endeffector_rot.STL,,End Effector Assembly_RevB-3/Rack 'n Pinion Module_RevB-1/Motor Module Plate-3;End Effector Assembly_RevB-3/Rack 'n Pinion Module_RevB-1/Motor Module Plate-1,Origin_global <Drivetrain Base 2-1>,Rotation_axis,limit_angles,revolute,0.38615,0,0.1082,0,0,0,drivetrainbase,1,0,0,0,0,0.4,1.22,,,,,,,,
linear_trans,-0.0095558,0.0054645,0.21622,0,0,0,0.41314,0.0203,3.0894E-08,2.0947E-06,0.0203,-3.1132E-07,3.6283E-05,0,0,0,0,0,0,package://rmc_robot_model/meshes/linear_trans.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://rmc_robot_model/meshes/linear_trans.STL,,End Effector Assembly_RevB-3/Rack 'n Pinion Module_RevB-1/ConveyorSpine_DIG-403_REVB-1,Origin_rackpin,lin_trans,rackpin,prismatic,-0.13041,0.76201,0.06351,0.70262,0,0,endeffector_rot,0,0,1,0,0,0,0.5,,,,,,,,
conveyor_top,0.009525,0.1282,0.17735,0,0,0,0.76532,0.00070716,5.4534E-13,4.0714E-13,0.00040933,5.4918E-08,0.00040923,0,0,0,0,0,0,package://rmc_robot_model/meshes/conveyor_top.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://rmc_robot_model/meshes/conveyor_top.STL,,End Effector Assembly_RevB-3/custom_pulley(6497K117)-4;End Effector Assembly_RevB-3/custom_pulley(6497K117)-1;End Effector Assembly_RevB-3/custom_pulley(6497K117)-2;End Effector Assembly_RevB-3/custom_pulley(6497K117)-3,Origin_conveyor,top_pulley,conveyor,continuous,0,0,0,0.6511,0,3.1416,linear_trans,-1,0,0,,,,,,,,,,,,
conveyor_bottom,0.085349,-0.1629,-0.011465,0,0,0,0.46086,0.00036261,5.6882E-11,-1.6684E-10,0.00020967,-3.0616E-07,0.00021004,0,0,0,0,0,0,package://rmc_robot_model/meshes/conveyor_bottom.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://rmc_robot_model/meshes/conveyor_bottom.STL,,End Effector Assembly_RevB-3/custom_pulley(6497K117)-1;End Effector Assembly_RevB-3/custom_pulley(6497K117)-2;End Effector Assembly_RevB-3/6435K140_ONE-PIECE CLAMP-ON SHAFT COLLAR-3;End Effector Assembly_RevB-3/6435K140_ONE-PIECE CLAMP-ON SHAFT COLLAR-2,Origin_shaft,bottom_pulley,shaft,continuous,0.075823,0,0,1.4673,0,3.1416,linear_trans,-1,0,0,,,,,,,,,,,,
dispense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://rmc_robot_model/meshes/dispense.STL,1,1,1,1,0,0,0,0,0,0,package://rmc_robot_model/meshes/dispense.STL,,storage dispensing assembly-2/newscissorassembly2-12-1/wide scissor base-2,Origin_scissor,dispense,scissor,prismatic,0.24486,0.00037342,0.31349,1.5708,0,1.5708,drivetrainbase,0,0,0,0,0,0,0.5,,,,,,,,
